line,name,slug,type,loot_type,rarity,current_price,current_gp,adjusted_price,adjusted_gp,delta_gp,rule,source_id
1344,(DE) - Dream,de-dream,spell,loot.spell,rare,5000 gp,5000,500 pp,5000,0,spell_level_standard,Compendium.world.spells-list.Item.kSPRpeIx3w3nihrF
1348,(DOEF) - Elemental Blast,doef-elemental-blast,spell,loot.spell,rare,2500 gp,2500,250 pp,2500,0,spell_level_standard,Compendium.world.terranor.terranor-c1-items-pack.Item.UEysC8NeYFaJHFCJ
1360,(DOEF) - Elemental Shield,doef-elemental-shield,spell,loot.spell,rare,2500 gp,2500,250 pp,2500,0,spell_level_standard,Compendium.world.terranor.terranor-c1-items-pack.Item.omZfomH4TmmsjqAK
1364,(DOEF) - Elemental Whirlwind,doef-elemental-whirlwind,spell,loot.spell,rare,2500 gp,2500,250 pp,2500,0,spell_level_standard,Compendium.world.terranor.terranor-c1-items-pack.Item.tRr2oYcYHTRsemcT
1361,(ROSS) - Cure Wounds Lv.2,ross-cure-wounds-lv2,spell,loot.spell,uncommon,250 gp,250,25 pp,250,0,spell_level_standard,Compendium.world.spells-list.Item.uUWb1wZgtMou0TVP
1350,(ROSS) - Haste,ross-haste,spell,loot.spell,uncommon,500 gp,500,50 pp,500,0,spell_level_standard,Actor.byMU1uq8V7hXFBLa.Item.UxbM1y3pSJQ9tp99
1369,(ROSS) - Magic Missile L.v1,ross-magic-missile-lv1,spell,loot.spell,common,50 gp,50,5 pp,50,0,spell_level_standard,Actor.byMU1uq8V7hXFBLa.Item.zG7nMw7zcG10S73d
1362,(ROSS) - Magic Missile Lv.2,ross-magic-missile-lv2,spell,loot.spell,uncommon,250 gp,250,25 pp,250,0,spell_level_standard,Compendium.dnd5e.spells.Item.41JIhpDyM9Anm7cs
1331,(ROSS) Guiding Bolt Lv.3,ross-guiding-bolt-lv3,spell,loot.spell,uncommon,500 gp,500,50 pp,500,0,spell_level_standard,Compendium.dnd5e.spells.Item.7buEm5KhI5lP8m1z
1366,(SOH) - Cure Wounds Level 1,soh-cure-wounds-level-1,spell,loot.spell,common,50 gp,50,5 pp,50,0,spell_level_standard,Actor.vU5kOna9UofMdJR3.Item.gFhylyjYP6Jp484E
1333,(SOH) - Cure Wounds Level 2,soh-cure-wounds-level-2,spell,loot.spell,uncommon,250 gp,250,25 pp,250,0,spell_level_standard,Actor.vU5kOna9UofMdJR3.Item.RtknadpUYAGwOC4m
1353,(SOH) - Cure Wounds Level 3,soh-cure-wounds-level-3,spell,loot.spell,uncommon,500 gp,500,50 pp,500,0,spell_level_standard,Actor.vU5kOna9UofMdJR3.Item.IBz93gfVxqvcENVO
1355,(SOH) - Cure Wounds Level 4,soh-cure-wounds-level-4,spell,loot.spell,rare,2500 gp,2500,250 pp,2500,0,spell_level_standard,Actor.vU5kOna9UofMdJR3.Item.OD8OB9eEx1Jokcaz
1340,(SOH) - Lesser Restoration,soh-lesser-restoration,spell,loot.spell,uncommon,250 gp,250,25 pp,250,0,spell_level_standard,Actor.vU5kOna9UofMdJR3.Item.eh7u8Dv5wiKoaQV2
1354,(SOH) - Mass Cure Wounds,soh-mass-cure-wounds,spell,loot.spell,rare,5000 gp,5000,500 pp,5000,0,spell_level_standard,Actor.vU5kOna9UofMdJR3.Item.p3RTBeiCgIg63F5v
597,Abacus,abacus,loot,loot.loot,common,2 gp,2,2 gp,2,0,mundane_keep_current,Compendium.dnd5e.items.Item.ea4xclqsksEQB1QF
408,Acid (vial),acid-vial,consumable,loot.potion,common,25 gp,25,25 gp,25,0,mundane_keep_current,Compendium.dnd5e.items.Item.Sx5E6utixHdAbGNb
1009,Acid Arrow,acid-arrow,spell,loot.spell,uncommon,250 gp,250,25 pp,250,0,spell_level_standard,Compendium.dnd5e.spells.Item.4H6YgYdKgnX6ZQ8M
1091,Acid Splash,acid-splash,spell,loot.spell,common,25 gp,25,25 gp,25,0,spell_level_standard,Compendium.dnd5e.spells.Item.JLTQyqXEaJDrTXyW
239,Adamantine Bar,adamantine-bar,loot,loot.loot,uncommon,7.69 gp,7.69,40 pp,400,392.31,magic_permanent_safe_default,Compendium.party-operations.party-operations-loot-manifest.Item.GgQkUMbwLoiMzlXn
187,Adamantine Breastplate,adamantine-breastplate,equipment,loot.armor.magic,uncommon,900 gp,900,40 pp,400,-500,magic_permanent_safe_default,Compendium.dnd5e.items.Item.DevmObXWP9MfwE2c
735,Adamantine Chain Mail,adamantine-chain-mail,equipment,loot.armor.magic,uncommon,575 gp,575,40 pp,400,-175,magic_permanent_safe_default,Compendium.dnd5e.items.Item.n7fm71CN7qDIBEKk
698,Adamantine Chain Shirt,adamantine-chain-shirt,equipment,loot.armor.magic,uncommon,550 gp,550,40 pp,400,-150,magic_permanent_safe_default,Compendium.dnd5e.items.Item.kjTPoUeomTPWJ9h3
15,Adamantine Half Plate Armor,adamantine-half-plate-armor,equipment,loot.armor.magic,uncommon,1250 gp,1250,40 pp,400,-850,magic_permanent_safe_default,Compendium.dnd5e.items.Item.159agyOuBHCl2WKd
809,Adamantine Plate Armor,adamantine-plate-armor,equipment,loot.armor.magic,uncommon,2000 gp,2000,40 pp,400,-1600,magic_permanent_safe_default,Compendium.dnd5e.items.Item.sP8CV5VNEcY1Yh1Q
